height,price,dealNumber,SectorStartEpoch,StartEpoch,LabelShort,TotalSize
251000,244140,159,251378,251970,149,83361792
251000,122070,193,251378,251929,178,50593792
251000,61035,262,251378,251930,249,34340864
251000,30517,228,251378,251944,205,14942208
251000,15258,237,251378,251937,212,7766016
251000,7629,99,251378,251994,89,1622016
251000,3814,23,251378,252001,21,188416
251000,1907,1,251378,253196,1,4096
251000,0,156,251001,268078,145,4624606035968
250000,200000000000,10,250884,255927,10,21474836480
250000,19800000000,9,250441,257406,9,19327352832
250000,15600000000,1,250772,257757,1,4294967296
250000,7800000000,1,250594,257090,1,2147483648
250000,6250000000,13,250257,251123,13,1140850688
250000,5000000000,1,250851,258341,1,1073741824
250000,4950000000,1,250830,258324,1,536870912
250000,4000000000,1,250246,253486,1,8589934592
250000,3900000000,2,250304,257343,2,2147483648
250000,3500000000,1,250891,258341,1,1073741824
250000,3125000000,2,250755,253686,2,67108864
250000,1950000000,1,250772,257745,1,536870912
250000,1750000000,1,250891,258311,1,536870912
250000,1562500000,16,250314,250547,16,268435456
250000,1000000000,4,250005,252611,4,7516192768
250000,781250000,22,250257,251430,22,192937984
250000,500000000,8,250096,251232,8,7113539584
250000,390625000,55,250257,250451,55,281018368
250000,270000000,1,250805,251779,1,536870912
250000,250000000,1,250627,256662,1,536870912
250000,195312500,50,250257,252081,50,148897792
250000,125000000,2,250246,253872,2,536870912
250000,97656250,41,250257,250871,41,66060288
250000,62500000,41,250011,250658,36,5502926848
250000,48828125,32,250257,251276,32,20971520
250000,31250000,55,250008,251151,44,3690987520
250000,24414062,86,250257,250757,86,30146560
250000,15625000,43,250008,251109,38,1442840576
250000,12207031,78,250257,250868,78,14417920
250000,7812500,78,250008,250763,67,1308622848
250000,6103515,86,250257,250450,86,8192000
250000,3906250,290,250008,250389,259,2432696320
250000,3051757,75,250257,250457,75,3702784
250000,1953125,425,250008,250407,370,1782579200
250000,1525878,48,250257,251834,48,1294336
250000,976562,235,250008,250393,199,492830720
250000,762939,23,250257,252056,23,335872
250000,488281,261,250008,250425,232,273678336
250000,381469,1,250257,252309,1,8192
250000,244140,313,250008,250413,284,164102144
250000,200828,2,250556,254849,2,2048
250000,200000,2,250556,254823,2,2048
250000,122070,517,250008,250355,462,135528448
250000,61035,589,250008,250351,518,77201408
